IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
KLAUDIUSZ,MĘŻCZYZNA,3466
LEOPOLD,MĘŻCZYZNA,3464
BRUNON,MĘŻCZYZNA,3460
OLAF,MĘŻCZYZNA,3446
ALEXANDER,MĘŻCZYZNA,3388
ROCH,MĘŻCZYZNA,3276
KLEMENS,MĘŻCZYZNA,3230
MARCELI,MĘŻCZYZNA,3182
GRACJAN,MĘŻCZYZNA,3083
IZYDOR,MĘŻCZYZNA,3003
ALBIN,MĘŻCZYZNA,2888
MICHAEL,MĘŻCZYZNA,2668
BORYS,MĘŻCZYZNA,2607
ALFONS,MĘŻCZYZNA,2600
ADOLF,MĘŻCZYZNA,2592
WALERIAN,MĘŻCZYZNA,2579
TOBIASZ,MĘŻCZYZNA,2516
DAVID,MĘŻCZYZNA,2395
BENIAMIN,MĘŻCZYZNA,2358
KORNEL,MĘŻCZYZNA,2263
JĘDRZEJ,MĘŻCZYZNA,2219
SAMUEL,MĘŻCZYZNA,2214
NATAN,MĘŻCZYZNA,2168
BOHDAN,MĘŻCZYZNA,2154
BRUNO,MĘŻCZYZNA,2149
ZYGFRYD,MĘŻCZYZNA,2126
JOHN,MĘŻCZYZNA,2115
AMADEUSZ,MĘŻCZYZNA,2018
SERGIUSZ,MĘŻCZYZNA,2005
ALEKSY,MĘŻCZYZNA,1992
OLGIERD,MĘŻCZYZNA,1955
PAUL,MĘŻCZYZNA,1944
PETER,MĘŻCZYZNA,1908
KUBA,MĘŻCZYZNA,1873
AUGUST,MĘŻCZYZNA,1838
MARTIN,MĘŻCZYZNA,1832
ERWIN,MĘŻCZYZNA,1824
MAURYCY,MĘŻCZYZNA,1771
ROLAND,MĘŻCZYZNA,1692
JAMES,MĘŻCZYZNA,1660
IWO,MĘŻCZYZNA,1632
WALTER,MĘŻCZYZNA,1624
JOSEPH,MĘŻCZYZNA,1620
TYMON,MĘŻCZYZNA,1574
THOMAS,MĘŻCZYZNA,1556
MIESZKO,MĘŻCZYZNA,1546
EMILIAN,MĘŻCZYZNA,1474
ARIEL,MĘŻCZYZNA,1458
ŁUCJAN,MĘŻCZYZNA,1458
FERDYNAND,MĘŻCZYZNA,1448
HERBERT,MĘŻCZYZNA,1394
ARNOLD,MĘŻCZYZNA,1377
JACENTY,MĘŻCZYZNA,1360
ZIEMOWIT,MĘŻCZYZNA,1330
JEREMI,MĘŻCZYZNA,1285
LONGIN,MĘŻCZYZNA,1275
BOŻYDAR,MĘŻCZYZNA,1252
WIT,MĘŻCZYZNA,1243
DORIAN,MĘŻCZYZNA,1232
TYTUS,MĘŻCZYZNA,1222
EDWIN,MĘŻCZYZNA,1195
PATRICK,MĘŻCZYZNA,1178
BONIFACY,MĘŻCZYZNA,1178
DIONIZY,MĘŻCZYZNA,1170
OLIVIER,MĘŻCZYZNA,1131
DENIS,MĘŻCZYZNA,1077
ANTHONY,MĘŻCZYZNA,1071
WILLIAM,MĘŻCZYZNA,1064
RICHARD,MĘŻCZYZNA,1056
ALEX,MĘŻCZYZNA,1052
JOSEF,MĘŻCZYZNA,1044
NATANIEL,MĘŻCZYZNA,1041
OKTAWIAN,MĘŻCZYZNA,1037
OLIVER,MĘŻCZYZNA,1028
KASPER,MĘŻCZYZNA,1006
ANDREW,MĘŻCZYZNA,1005
CHRISTOPHER,MĘŻCZYZNA,1001
ELIGIUSZ,MĘŻCZYZNA,998
KORDIAN,MĘŻCZYZNA,995
ALEKS,MĘŻCZYZNA,972
KUMAR,MĘŻCZYZNA,956
IDZI,MĘŻCZYZNA,942
WERNER,MĘŻCZYZNA,938
MAKSYM,MĘŻCZYZNA,883
KOSMA,MĘŻCZYZNA,878
GINTER,MĘŻCZYZNA,854
SINGH,MĘŻCZYZNA,822
CHRISTIAN,MĘŻCZYZNA,814
KRYSPIN,MĘŻCZYZNA,813
CYRYL,MĘŻCZYZNA,810
EUZEBIUSZ,MĘŻCZYZNA,810
KORNELIUSZ,MĘŻCZYZNA,808
ANTONIO,MĘŻCZYZNA,798
ANDREAS,MĘŻCZYZNA,783
MARK,MĘŻCZYZNA,763
PATRYCJUSZ,MĘŻCZYZNA,760
HELMUT,MĘŻCZYZNA,759
ELIASZ,MĘŻCZYZNA,755
AURELIUSZ,MĘŻCZYZNA,739
ANATOL,MĘŻCZYZNA,738
MANUEL,MĘŻCZYZNA,734
LECHOSŁAW,MĘŻCZYZNA,730
OLIWER,MĘŻCZYZNA,726
JEREMIASZ,MĘŻCZYZNA,705
BAZYLI,MĘŻCZYZNA,702
MAXIMILIAN,MĘŻCZYZNA,670
HIPOLIT,MĘŻCZYZNA,665
VICTOR,MĘŻCZYZNA,655
MIRON,MĘŻCZYZNA,653
MANFRED,MĘŻCZYZNA,651
HERMAN,MĘŻCZYZNA,646
JONASZ,MĘŻCZYZNA,646
URBAN,MĘŻCZYZNA,645
JONATAN,MĘŻCZYZNA,640
SZCZĘSNY,MĘŻCZYZNA,635
KEVIN,MĘŻCZYZNA,633
BENJAMIN,MĘŻCZYZNA,628
BRAJAN,MĘŻCZYZNA,626
RAFAEL,MĘŻCZYZNA,615
AMBROŻY,MĘŻCZYZNA,613
JACOB,MĘŻCZYZNA,612
NARCYZ,MĘŻCZYZNA,612
ROGER,MĘŻCZYZNA,608
APOLINARY,MĘŻCZYZNA,604
GEORGE,MĘŻCZYZNA,602
NICOLAS,MĘŻCZYZNA,598
MELCHIOR,MĘŻCZYZNA,594
HUGO,MĘŻCZYZNA,585
JUSTYN,MĘŻCZYZNA,583
HENRY,MĘŻCZYZNA,574
ALI,MĘŻCZYZNA,573
HERONIM,MĘŻCZYZNA,569
GERHARD,MĘŻCZYZNA,566
EWALD,MĘŻCZYZNA,565
MILAN,MĘŻCZYZNA,562
ARON,MĘŻCZYZNA,557
JOHANNES,MĘŻCZYZNA,555
JAROMIR,MĘŻCZYZNA,553
FELICJAN,MĘŻCZYZNA,552
MAX,MĘŻCZYZNA,551
LUBOMIR,MĘŻCZYZNA,547
MIGUEL,MĘŻCZYZNA,524
LEO,MĘŻCZYZNA,522
DONAT,MĘŻCZYZNA,520
KEWIN,MĘŻCZYZNA,519
VINCENT,MĘŻCZYZNA,516
CHARLES,MĘŻCZYZNA,507
BALTAZAR,MĘŻCZYZNA,506
HILARY,MĘŻCZYZNA,500
HORST,MĘŻCZYZNA,497
OTTO,MĘŻCZYZNA,495
MATTHEW,MĘŻCZYZNA,492
DIETER,MĘŻCZYZNA,481
BOGUSZ,MĘŻCZYZNA,458
BENON,MĘŻCZYZNA,456
OSCAR,MĘŻCZYZNA,450
GEORG,MĘŻCZYZNA,449
MAKS,MĘŻCZYZNA,446
LUDOMIR,MĘŻCZYZNA,443
LUKAS,MĘŻCZYZNA,439
JOSE,MĘŻCZYZNA,430
ZBYSZEK,MĘŻCZYZNA,429
MARIO,MĘŻCZYZNA,427
ZACHARIASZ,MĘŻCZYZNA,427
JAVIER,MĘŻCZYZNA,422
ZBYSŁAW,MĘŻCZYZNA,419
NICHOLAS,MĘŻCZYZNA,418
JEAN,MĘŻCZYZNA,417
JOZEF,MĘŻCZYZNA,417
ARTHUR,MĘŻCZYZNA,416
STANISLAW,MĘŻCZYZNA,415
LEW,MĘŻCZYZNA,414
JORDAN,MĘŻCZYZNA,414
FRANCIS,MĘŻCZYZNA,414
WOLFGANG,MĘŻCZYZNA,414
ALBERTO,MĘŻCZYZNA,411
APOLONIUSZ,MĘŻCZYZNA,410
RADOMIR,MĘŻCZYZNA,407
EDGAR,MĘŻCZYZNA,406
PHILIP,MĘŻCZYZNA,406
HEINZ,MĘŻCZYZNA,404
BARNABA,MĘŻCZYZNA,399
JANUARY,MĘŻCZYZNA,399
KURT,MĘŻCZYZNA,391
GWIDON,MĘŻCZYZNA,387
CARLOS,MĘŻCZYZNA,382
KARL,MĘŻCZYZNA,378
WAWRZYN,MĘŻCZYZNA,378
LUIS,MĘŻCZYZNA,377
SIMON,MĘŻCZYZNA,377
WALERY,MĘŻCZYZNA,374
PIERRE,MĘŻCZYZNA,372
ALEJANDRO,MĘŻCZYZNA,369
SOBIESŁAW,MĘŻCZYZNA,362
MICHEL,MĘŻCZYZNA,358
JONATHAN,MĘŻCZYZNA,353
LUCAS,MĘŻCZYZNA,352
PAWEL,MĘŻCZYZNA,350
RUFIN,MĘŻCZYZNA,349
JOHANN,MĘŻCZYZNA,349
EWARYST,MĘŻCZYZNA,346
SERAFIN,MĘŻCZYZNA,345
FRANZ,MĘŻCZYZNA,344
MAKARY,MĘŻCZYZNA,344
AHMED,MĘŻCZYZNA,338
BAHADUR,MĘŻCZYZNA,334
FRANK,MĘŻCZYZNA,330
KLAUS,MĘŻCZYZNA,330
MARKUS,MĘŻCZYZNA,327
NIKOLAS,MĘŻCZYZNA,327
ZBYSZKO,MĘŻCZYZNA,324
CELESTYN,MĘŻCZYZNA,324
MEDARD,MĘŻCZYZNA,323
EDUARDO,MĘŻCZYZNA,323
JAREMA,MĘŻCZYZNA,322
XAVIER,MĘŻCZYZNA,312
WINICJUSZ,MĘŻCZYZNA,312
DYMITR,MĘŻCZYZNA,310
DOBROMIR,MĘŻCZYZNA,309
BONAWENTURA,MĘŻCZYZNA,308
LOUIS,MĘŻCZYZNA,305
ANTON,MĘŻCZYZNA,304
JURAND,MĘŻCZYZNA,302
MOHAMED,MĘŻCZYZNA,302
ERIC,MĘŻCZYZNA,301
STANLEY,MĘŻCZYZNA,299
WIEŃCZYSŁAW,MĘŻCZYZNA,299
MICHAL,MĘŻCZYZNA,298
ANASTAZY,MĘŻCZYZNA,295
ALEXANDRE,MĘŻCZYZNA,295
KRYSTYN,MĘŻCZYZNA,294
CHRYSTIAN,MĘŻCZYZNA,293
NATHAN,MĘŻCZYZNA,292
VIKTOR,MĘŻCZYZNA,291
AARON,MĘŻCZYZNA,290
OSWALD,MĘŻCZYZNA,287
CEZAR,MĘŻCZYZNA,284
LEE,MĘŻCZYZNA,281
BRIAN,MĘŻCZYZNA,277
TYCJAN,MĘŻCZYZNA,274
DAMAZY,MĘŻCZYZNA,274
CHRISTOPH,MĘŻCZYZNA,274
PASCAL,MĘŻCZYZNA,271
ZENOBIUSZ,MĘŻCZYZNA,271
MODEST,MĘŻCZYZNA,269
DOBROSŁAW,MĘŻCZYZNA,267
ANDRÉ,MĘŻCZYZNA,265
HEINRICH,MĘŻCZYZNA,264
RONALD,MĘŻCZYZNA,263
NAPOLEON,MĘŻCZYZNA,261
FELIX,MĘŻCZYZNA,260
IAN,MĘŻCZYZNA,256
ERIK,MĘŻCZYZNA,254
ANGELO,MĘŻCZYZNA,249
ANDRES,MĘŻCZYZNA,249
JUREK,MĘŻCZYZNA,245
KASJAN,MĘŻCZYZNA,245
SATURNIN,MĘŻCZYZNA,245
SYLWERIUSZ,MĘŻCZYZNA,243
MARCO,MĘŻCZYZNA,241
GNIEWKO,MĘŻCZYZNA,241
ENRIQUE,MĘŻCZYZNA,240
EMMANUEL,MĘŻCZYZNA,240
KSAWIER,MĘŻCZYZNA,239
JOSÉ,MĘŻCZYZNA,237
ANDRE,MĘŻCZYZNA,236
DOBIESŁAW,MĘŻCZYZNA,236
CAN,MĘŻCZYZNA,233
HANS,MĘŻCZYZNA,231
JUNIOR,MĘŻCZYZNA,229
JÜRGEN,MĘŻCZYZNA,229
OKTAWIUSZ,MĘŻCZYZNA,227
GNIEWOMIR,MĘŻCZYZNA,226
STEPHEN,MĘŻCZYZNA,225
OTTON,MĘŻCZYZNA,224
KRZESIMIR,MĘŻCZYZNA,222
PABLO,MĘŻCZYZNA,218
FERNANDO,MĘŻCZYZNA,217
IBRAHIM,MĘŻCZYZNA,215
GREGORY,MĘŻCZYZNA,215
JOSHUA,MĘŻCZYZNA,212
RICARDO,MĘŻCZYZNA,212
JACK,MĘŻCZYZNA,207
EUSTACHY,MĘŻCZYZNA,207
ANGEL,MĘŻCZYZNA,206
ROBERTO,MĘŻCZYZNA,204
RAJNOLD,MĘŻCZYZNA,204
JAKOB,MĘŻCZYZNA,202
FRANCISCO,MĘŻCZYZNA,202
JORGE,MĘŻCZYZNA,201
DOMINIC,MĘŻCZYZNA,201
GREGOR,MĘŻCZYZNA,199
PRASAD,MĘŻCZYZNA,199
TYBERIUSZ,MĘŻCZYZNA,199
WILLI,MĘŻCZYZNA,198
MARC,MĘŻCZYZNA,197
ENGELBERT,MĘŻCZYZNA,197
OREST,MĘŻCZYZNA,196
WITALIS,MĘŻCZYZNA,195
RENE,MĘŻCZYZNA,194
TELESFOR,MĘŻCZYZNA,194
PIO,MĘŻCZYZNA,192
JOEL,MĘŻCZYZNA,191
KOSTKA,MĘŻCZYZNA,191
NORMAN,MĘŻCZYZNA,190
GABRYEL,MĘŻCZYZNA,190
STEVEN,MĘŻCZYZNA,189
RYAN,MĘŻCZYZNA,188
SCOTT,MĘŻCZYZNA,188
ERICH,MĘŻCZYZNA,188
NOAH,MĘŻCZYZNA,187
FILIPE,MĘŻCZYZNA,187
ERAZM,MĘŻCZYZNA,186
REINHOLD,MĘŻCZYZNA,186
SAMBOR,MĘŻCZYZNA,185
LUCJUSZ,MĘŻCZYZNA,185
MARIE,MĘŻCZYZNA,183
LUKASZ,MĘŻCZYZNA,182
HARRY,MĘŻCZYZNA,181
LEONARDO,MĘŻCZYZNA,181
DYONIZY,MĘŻCZYZNA,180
IVAN,MĘŻCZYZNA,177
PHILIPPE,MĘŻCZYZNA,175
FRANCESCO,MĘŻCZYZNA,173
OLEG,MĘŻCZYZNA,172
AXEL,MĘŻCZYZNA,172
GÜNTER,MĘŻCZYZNA,170
TRISTAN,MĘŻCZYZNA,167
MARCUS,MĘŻCZYZNA,166
DIEGO,MĘŻCZYZNA,165
FAUSTYN,MĘŻCZYZNA,165
MOSHE,MĘŻCZYZNA,163
JUSTIN,MĘŻCZYZNA,163
SYMEON,MĘŻCZYZNA,162
ONUFRY,MĘŻCZYZNA,162
HARALD,MĘŻCZYZNA,162
ARMIN,MĘŻCZYZNA,161
PEDRO,MĘŻCZYZNA,161
OMAR,MĘŻCZYZNA,159
ELIAS,MĘŻCZYZNA,156
HENRI,MĘŻCZYZNA,156
CEZARIUSZ,MĘŻCZYZNA,156
SYLWIUSZ,MĘŻCZYZNA,154
JASON,MĘŻCZYZNA,153
ALLAN,MĘŻCZYZNA,153
JACQUES,MĘŻCZYZNA,152
ARMAND,MĘŻCZYZNA,151
ERNST,MĘŻCZYZNA,150
NOEL,MĘŻCZYZNA,149
BERNHARD,MĘŻCZYZNA,149
DEZYDERIUSZ,MĘŻCZYZNA,149
NOE,MĘŻCZYZNA,148
GAWEŁ,MĘŻCZYZNA,148
HERMANN,MĘŻCZYZNA,148
GILBERT,MĘŻCZYZNA,148
EZEQUIEL,MĘŻCZYZNA,148
POLIKARP,MĘŻCZYZNA,147
MAXYMILIAN,MĘŻCZYZNA,147
DENNIS,MĘŻCZYZNA,146
IGNACIO,MĘŻCZYZNA,146
MAGNUS,MĘŻCZYZNA,145
XAWERY,MĘŻCZYZNA,144
MOHAMMED,MĘŻCZYZNA,144
LIAM,MĘŻCZYZNA,143
DITER,MĘŻCZYZNA,143
KARIM,MĘŻCZYZNA,142
ABRAHAM,MĘŻCZYZNA,142
GOTFRYD,MĘŻCZYZNA,141
MIŁOSŁAW,MĘŻCZYZNA,140
IVO,MĘŻCZYZNA,139
LUDWIG,MĘŻCZYZNA,139
GERWAZY,MĘŻCZYZNA,139
SEAN,MĘŻCZYZNA,138
GEORGES,MĘŻCZYZNA,138
MARIUS,MĘŻCZYZNA,137
AUGUSTO,MĘŻCZYZNA,137
MATTHIAS,MĘŻCZYZNA,137
JOHAN,MĘŻCZYZNA,135
RUBEN,MĘŻCZYZNA,135
CONRAD,MĘŻCZYZNA,135
RAYMOND,MĘŻCZYZNA,135
ANDRÉS,MĘŻCZYZNA,134
LUCA,MĘŻCZYZNA,133
CLAUDE,MĘŻCZYZNA,133
PHILIPP,MĘŻCZYZNA,133
GIUSEPPE,MĘŻCZYZNA,133
GIOVANNI,MĘŻCZYZNA,133
FRIEDRICH,MĘŻCZYZNA,133
WITOSŁAW,MĘŻCZYZNA,132
HENRIQUE,MĘŻCZYZNA,132
NATHANIEL,MĘŻCZYZNA,132
ANTOINE,MĘŻCZYZNA,131
ŁADYSŁAW,MĘŻCZYZNA,130
TOMAS,MĘŻCZYZNA,129
IZAAK,MĘŻCZYZNA,129
MAURICE,MĘŻCZYZNA,129
BARTEK,MĘŻCZYZNA,127
KAI,MĘŻCZYZNA,126
ANH,MĘŻCZYZNA,126
IWAN,MĘŻCZYZNA,126
PAOLO,MĘŻCZYZNA,126
AHMAD,MĘŻCZYZNA,126
DONALD,MĘŻCZYZNA,126
NAM,MĘŻCZYZNA,125
LUKE,MĘŻCZYZNA,125
RAFAL,MĘŻCZYZNA,125
SŁAWEK,MĘŻCZYZNA,125
SANTIAGO,MĘŻCZYZNA,125
SŁAWOJ,MĘŻCZYZNA,124
KRISTIAN,MĘŻCZYZNA,124
EMRE,MĘŻCZYZNA,123
ISAAC,MĘŻCZYZNA,123
GERALD,MĘŻCZYZNA,123
TOBIAS,MĘŻCZYZNA,122
FRANÇOIS,MĘŻCZYZNA,122
HUGON,MĘŻCZYZNA,121
KANTY,MĘŻCZYZNA,121
NESTOR,MĘŻCZYZNA,121
SERWACY,MĘŻCZYZNA,121
CHRISTOPHE,MĘŻCZYZNA,121
PRZYBYSŁAW,MĘŻCZYZNA,120
HASSAN,MĘŻCZYZNA,119
ZAWISZA,MĘŻCZYZNA,119
FREDERICK,MĘŻCZYZNA,119
ZACHARY,MĘŻCZYZNA,118
GNIEWOSZ,MĘŻCZYZNA,118
RAJ,MĘŻCZYZNA,117
EGON,MĘŻCZYZNA,117
HELIODOR,MĘŻCZYZNA,116
ANZELM,MĘŻCZYZNA,114
MIKAEL,MĘŻCZYZNA,113
COLIN,MĘŻCZYZNA,112
KENNETH,MĘŻCZYZNA,112
TIMOTHY,MĘŻCZYZNA,112
WIRGILIUSZ,MĘŻCZYZNA,111
WINCENT,MĘŻCZYZNA,110
BRANDON,MĘŻCZYZNA,110
MŚCISŁAW,MĘŻCZYZNA,110
RAPHAEL,MĘŻCZYZNA,109
VALENTIN,MĘŻCZYZNA,109
ROBIN,MĘŻCZYZNA,108
JULIEN,MĘŻCZYZNA,108
FRANCOIS,MĘŻCZYZNA,108
ALAIN,MĘŻCZYZNA,107
ISRAEL,MĘŻCZYZNA,107
ANTONY,MĘŻCZYZNA,107
PIUS,MĘŻCZYZNA,106
MIKOLAJ,MĘŻCZYZNA,106
ALLEN,MĘŻCZYZNA,105
GUSTAV,MĘŻCZYZNA,105
HAIM,MĘŻCZYZNA,104
SAMIR,MĘŻCZYZNA,104
CORNELIS,MĘŻCZYZNA,104
ANTONIUSZ,MĘŻCZYZNA,104
HENRIK,MĘŻCZYZNA,103
ULRICH,MĘŻCZYZNA,103
HEKTOR,MĘŻCZYZNA,103
JUAN,MĘŻCZYZNA,102
PATRIK,MĘŻCZYZNA,102
DOUGLAS,MĘŻCZYZNA,102
IVANOV,MĘŻCZYZNA,101
MATHIAS,MĘŻCZYZNA,101
ESTEBAN,MĘŻCZYZNA,101
PHILLIP,MĘŻCZYZNA,101
RAUL,MĘŻCZYZNA,99
FELIPE,MĘŻCZYZNA,98
JÓZEFAT,MĘŻCZYZNA,98
MINH,MĘŻCZYZNA,97
DARIUS,MĘŻCZYZNA,97
ARMANDO,MĘŻCZYZNA,97
RADZISŁAW,MĘŻCZYZNA,97
BERNARDYN,MĘŻCZYZNA,97
ETHAN,MĘŻCZYZNA,96
DAREK,MĘŻCZYZNA,96
ERNESTO,MĘŻCZYZNA,96
MARCJAN,MĘŻCZYZNA,96
GUSTAVO,MĘŻCZYZNA,96
EKSPEDYT,MĘŻCZYZNA,96
CRISTIAN,MĘŻCZYZNA,95
ROY,MĘŻCZYZNA,94
RENÉ,MĘŻCZYZNA,94
BRYAN,MĘŻCZYZNA,94
PAULIN,MĘŻCZYZNA,94
GORDON,MĘŻCZYZNA,94
KONSTANTYN,MĘŻCZYZNA,94
PAULO,MĘŻCZYZNA,93
WILLEM,MĘŻCZYZNA,93
EDUARD,MĘŻCZYZNA,93
STANISLAS,MĘŻCZYZNA,93
VĂN,MĘŻCZYZNA,92
ROMEO,MĘŻCZYZNA,92
THEODOR,MĘŻCZYZNA,92
